Episode no = 10; won: True; Q(s,a) = 449.2342981514773; reward = 96.0; and epsilon = 0.0, win percentage = 1.0, 2023-04-10 16:37:18
Episode no = 20; won: True; Q(s,a) = 471.8837672326212; reward = 95.0; and epsilon = 0.0, win percentage = 1.0, 2023-04-10 16:37:19
Episode no = 30; won: True; Q(s,a) = 463.09727184991823; reward = 90.0; and epsilon = 0.0, win percentage = 1.0, 2023-04-10 16:37:20
Episode no = 40; won: True; Q(s,a) = 438.22835735234173; reward = 96.0; and epsilon = 0.0, win percentage = 1.0, 2023-04-10 16:37:21
Episode no = 50; won: True; Q(s,a) = 394.03233946739; reward = 95.0; and epsilon = 0.0, win percentage = 1.0, 2023-04-10 16:37:22
Episode no = 60; won: True; Q(s,a) = 399.44306646875333; reward = 92.0; and epsilon = 0.0, win percentage = 1.0, 2023-04-10 16:37:23
Episode no = 70; won: True; Q(s,a) = 393.09460932424963; reward = 95.0; and epsilon = 0.0, win percentage = 1.0, 2023-04-10 16:37:23
Episode no = 80; won: True; Q(s,a) = 390.01128253550746; reward = 95.0; and epsilon = 0.0, win percentage = 1.0, 2023-04-10 16:37:24
Episode no = 90; won: True; Q(s,a) = 470.26505126385575; reward = 95.0; and epsilon = 0.0, win percentage = 1.0, 2023-04-10 16:37:25
Episode no = 100; won: True; Q(s,a) = 469.40920820982484; reward = 95.0; and epsilon = 0.0, win percentage = 1.0, 2023-04-10 16:37:26
Episode no = 10; won: True; Q(s,a) = 449.2342981514773; reward = 96.0; and epsilon = 0.0, win percentage = 1.0, 2023-04-10 16:39:18
Episode no = 20; won: True; Q(s,a) = 462.3316667445679; reward = 90.0; and epsilon = 0.0, win percentage = 1.0, 2023-04-10 16:39:18
Episode no = 30; won: True; Q(s,a) = 473.98066193455486; reward = 95.0; and epsilon = 0.0, win percentage = 0.9, 2023-04-10 16:39:19
Episode no = 40; won: True; Q(s,a) = 395.18615229256693; reward = 95.0; and epsilon = 0.0, win percentage = 1.0, 2023-04-10 16:39:20
Episode no = 50; won: True; Q(s,a) = 439.59079240115847; reward = 96.0; and epsilon = 0.0, win percentage = 1.0, 2023-04-10 16:39:21
Episode no = 60; won: True; Q(s,a) = 438.6287048680586; reward = 96.0; and epsilon = 0.0, win percentage = 1.0, 2023-04-10 16:39:22
Episode no = 70; won: True; Q(s,a) = 473.0098635791077; reward = 95.0; and epsilon = 0.0, win percentage = 1.0, 2023-04-10 16:39:23
Episode no = 80; won: True; Q(s,a) = 441.0086984274078; reward = 96.0; and epsilon = 0.0, win percentage = 1.0, 2023-04-10 16:39:24
Episode no = 90; won: True; Q(s,a) = 394.1085378475788; reward = 95.0; and epsilon = 0.0, win percentage = 1.0, 2023-04-10 16:39:25
Episode no = 100; won: True; Q(s,a) = 396.62083683877074; reward = 95.0; and epsilon = 0.0, win percentage = 1.0, 2023-04-10 16:39:26
Episode no = 10; won: True; Q(s,a) = 473.42795856875574; reward = 95.0; and epsilon = 0.0, win percentage = 1.0, 2023-04-10 16:41:35
Episode no = 20; won: True; Q(s,a) = 438.9720133615371; reward = 96.0; and epsilon = 0.0, win percentage = 1.0, 2023-04-10 16:41:35
Episode no = 30; won: True; Q(s,a) = 469.0944635244221; reward = 96.0; and epsilon = 0.0, win percentage = 1.0, 2023-04-10 16:41:36
Episode no = 40; won: True; Q(s,a) = 478.29691534278993; reward = 82.0; and epsilon = 0.0, win percentage = 1.0, 2023-04-10 16:41:37
Episode no = 50; won: True; Q(s,a) = 445.9946925699049; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2023-04-10 16:41:38
Episode no = 60; won: True; Q(s,a) = 391.1552707818847; reward = 96.0; and epsilon = 0.0, win percentage = 1.0, 2023-04-10 16:41:39
Episode no = 70; won: True; Q(s,a) = 476.1035240992997; reward = 82.0; and epsilon = 0.0, win percentage = 1.0, 2023-04-10 16:41:40
Episode no = 80; won: True; Q(s,a) = 438.3395650053953; reward = 92.0; and epsilon = 0.0, win percentage = 1.0, 2023-04-10 16:41:41
Episode no = 90; won: True; Q(s,a) = 438.500076102042; reward = 96.0; and epsilon = 0.0, win percentage = 1.0, 2023-04-10 16:41:42
Episode no = 100; won: True; Q(s,a) = 436.7192365420321; reward = 96.0; and epsilon = 0.0, win percentage = 1.0, 2023-04-10 16:41:43
Episode no = 10; won: False; Q(s,a) = nan; reward = -505.0; and epsilon = 0.9986666666666667, win percentage = 0.0, 2023-04-13 01:27:29
Episode no = 20; won: False; Q(s,a) = nan; reward = -509.0; and epsilon = 0.9973333333333333, win percentage = 0.0, 2023-04-13 01:27:29
Episode no = 30; won: False; Q(s,a) = nan; reward = -511.0; and epsilon = 0.996, win percentage = 0.0, 2023-04-13 01:27:31
Episode no = 40; won: False; Q(s,a) = nan; reward = -505.0; and epsilon = 0.9946666666666667, win percentage = 0.0, 2023-04-13 01:27:31
Episode no = 50; won: False; Q(s,a) = nan; reward = -519.0; and epsilon = 0.9933333333333333, win percentage = 0.0, 2023-04-13 01:27:32
Episode no = 60; won: False; Q(s,a) = nan; reward = -507.0; and epsilon = 0.992, win percentage = 0.0, 2023-04-13 01:27:32
Episode no = 70; won: False; Q(s,a) = -1.009137325612073; reward = -505.0; and epsilon = 0.9906666666666667, win percentage = 0.0, 2023-04-13 01:27:33
Episode no = 80; won: False; Q(s,a) = nan; reward = -513.0; and epsilon = 0.9893333333333333, win percentage = 0.0, 2023-04-13 01:27:33
Episode no = 90; won: False; Q(s,a) = nan; reward = -507.0; and epsilon = 0.988, win percentage = 0.0, 2023-04-13 01:27:34
Episode no = 100; won: False; Q(s,a) = nan; reward = -509.0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2023-04-13 01:27:34
Episode no = 110; won: False; Q(s,a) = -2.002449725235311; reward = -513.0; and epsilon = 0.9853333333333333, win percentage = 0.0, 2023-04-13 01:27:35
Episode no = 120; won: False; Q(s,a) = nan; reward = -505.0; and epsilon = 0.984, win percentage = 0.0, 2023-04-13 01:27:35
Episode no = 130; won: False; Q(s,a) = nan; reward = -506.0; and epsilon = 0.9826666666666667, win percentage = 0.0, 2023-04-13 01:27:36
Episode no = 140; won: False; Q(s,a) = nan; reward = -515.0; and epsilon = 0.9813333333333333, win percentage = 0.0, 2023-04-13 01:27:36
Episode no = 150; won: False; Q(s,a) = nan; reward = -505.0; and epsilon = 0.98, win percentage = 0.0, 2023-04-13 01:27:37
Episode no = 160; won: False; Q(s,a) = nan; reward = -510.0; and epsilon = 0.9786666666666667, win percentage = 0.0, 2023-04-13 01:27:37
Episode no = 170; won: False; Q(s,a) = nan; reward = -509.0; and epsilon = 0.9773333333333334, win percentage = 0.0, 2023-04-13 01:27:38
Episode no = 180; won: False; Q(s,a) = nan; reward = -512.0; and epsilon = 0.976, win percentage = 0.0, 2023-04-13 01:27:38
Episode no = 190; won: False; Q(s,a) = nan; reward = -508.0; and epsilon = 0.9746666666666667, win percentage = 0.0, 2023-04-13 01:27:38
