Episode no = 10; won: False; Q(s,a) = nan; reward = -501.0; and epsilon = 0.9986666666666667, win percentage = 0.0, 2023-04-20 14:53:32
Episode no = 20; won: False; Q(s,a) = -0.7410727140605481; reward = -480.0; and epsilon = 0.9973333333333333, win percentage = 0.0, 2023-04-20 14:53:37
Episode no = 30; won: False; Q(s,a) = nan; reward = -358.0; and epsilon = 0.996, win percentage = 0.0, 2023-04-20 14:53:42
Episode no = 40; won: False; Q(s,a) = nan; reward = -481.0; and epsilon = 0.9946666666666667, win percentage = 0.0, 2023-04-20 14:53:46
Episode no = 50; won: False; Q(s,a) = -0.4938843747842564; reward = -509.0; and epsilon = 0.9933333333333333, win percentage = 0.0, 2023-04-20 14:53:50
Episode no = 60; won: False; Q(s,a) = -0.6033721959143109; reward = -466.0; and epsilon = 0.992, win percentage = 0.0, 2023-04-20 14:53:56
Episode no = 70; won: False; Q(s,a) = nan; reward = -428.0; and epsilon = 0.9906666666666667, win percentage = 0.0, 2023-04-20 14:54:01
Episode no = 80; won: False; Q(s,a) = nan; reward = -459.0; and epsilon = 0.9893333333333333, win percentage = 0.0, 2023-04-20 14:54:06
Episode no = 90; won: False; Q(s,a) = 0.26148154362226705; reward = -458.0; and epsilon = 0.988, win percentage = 0.0, 2023-04-20 14:54:11
Episode no = 100; won: False; Q(s,a) = nan; reward = -494.0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2023-04-20 14:54:17
Episode no = 110; won: False; Q(s,a) = -1.3041269734753143; reward = -466.0; and epsilon = 0.9853333333333333, win percentage = 0.0, 2023-04-20 14:54:20
Episode no = 120; won: False; Q(s,a) = 3.182898709962107; reward = -467.0; and epsilon = 0.984, win percentage = 0.0, 2023-04-20 14:54:26
Episode no = 130; won: False; Q(s,a) = nan; reward = -444.0; and epsilon = 0.9826666666666667, win percentage = 0.0, 2023-04-20 14:54:31
